オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
Hibari,メイドbarみゃうるるふ,対話店・BAR,https://www.barmyaururufu.com/,#メイドバーみゃうるるふ,https://www.14-store-log.com/stores/376f9d9f-e9d0-483c-a060-95bec5393b24,Meteor,Belias,エンピレアム 10区,2番地
Toranya Koneko,お食事処「ひより」,カフェ,https://x.com/Toranya_ff14,#お食事処ひより,https://www.14-store-log.com/stores/59c15675-0657-485a-b133-44e972d3133a,Mana,Masamune,ミストヴィレッジ 16区,トップマスト1号 24号室
Francesco Tutti,Bar ROMA,BAR,,,https://www.14-store-log.com/stores/ae7a6396-bfb9-4ffc-aaf8-5d2ac8e0ac52,Mana,Chocobo,ラベンダーベッド 23区,14番地
Melder　Berry（メルダー　ベリー）,プールBar  🍸Le Bleu Melder 「ル・ブルー・メルダー」,BAR,https://x.com/elder_berry_ff,#ル・ブルー・メルダー,https://www.14-store-log.com/stores/cdc64b6d-a280-4d9c-a76d-ba26868f710c,Mana,Masamune,シロガネ 20区,8番地
Miko Miko’,マネキンショップ【Mellow】,マネキンショップ,,#Andante_Cafe430,https://www.14-store-log.com/stores/0ec71466-a394-4366-976b-903c438d5113,Meteor,Zeromus,ミストヴィレッジ 5区,45番地
Toranay Koneko,占い処トラにゃ,占い・カフェ,https://x.com/Toranya_ff14,#占い処トラにゃ,https://www.14-store-log.com/stores/ec993714-ef64-48a2-8157-b8b8685df784,Mana,Masamune,ゴブレットビュート 14区,56番地
Liquid Cat,流体猫又,その他・相談所,,#流体猫又,https://www.14-store-log.com/stores/a2dcf46b-9f01-4a13-a7bc-bb9ecb7ec68c,Mana,Masamune,ミストヴィレッジ 26区,トップマスト2号 9号
G'ladius Nightreign,Nightfall,BAR,,#ナイトフォール,https://www.14-store-log.com/stores/7a10872f-4e0d-4abe-8d3d-75a8dd60ce12,Mana,Anima,エンピレアム 15区,2番地 001
Phantom Fluorite,怪談と茶房「Agrat＝アグラト」,カフェ・その他,,,https://www.14-store-log.com/stores/7719ab30-2c2d-4f6a-97f6-b6fa5e22ef74,Gaia,Durandal,ミストヴィレッジ 16区,12番地
Lydia,Jasper【花･紅茶のお店】　,販売店・その他,,#FF14_Jasper　#Lydia_housing,https://www.14-store-log.com/stores/bf3fca18-d014-45f3-8fae-e8e1cc7304b1,Meteor,Mandragora,ラベンダーベッド 21区,32番地
Ota Dog,爆乳ビエルゴに会える店,カフェ・交流店,,#爆ビエ,https://www.14-store-log.com/stores/5062fcba-7d37-4cb9-9487-995c3ba6a2fb,Mana,Anima,シロガネ 28区,25番地
Francesco Tutti,Cafe Fantasista,カフェ,,,https://www.14-store-log.com/stores/4bbc36d7-dd08-4182-a7c5-b020a542401f,Mana,Chocobo,シロガネ 19区,紅梅御殿1号 9号室
Lidylia Masclet,話喫茶モノガタリ,その他,,#モノガタリ_FF14,https://www.14-store-log.com/stores/fded3feb-e996-4b1a-8b7b-f2a7a694be96,Mana,Masamune,ゴブレットビュート 24区,5番地
Sophie Cosmos,Cafe桜牡丹,カフェ・対話店,https://x.com/SophieRP_ff14,#Cafe桜牡丹,https://www.14-store-log.com/stores/03567dbc-90fd-433b-a14c-c61d644a6862,Mana,Pandaemonium,ミストヴィレッジ 5区,24番地
Little Garden,【魚頭楽シリーズ第7弾】魚頭楽PUB「LONELYHONEY  NIGHT」🦇,居酒屋・ディスコ,,魚頭楽,https://www.14-store-log.com/stores/c1204015-dcc1-4efc-b493-48f4942f0cd7,Mana,Chocobo,エンピレアム 16区,7番地
Siro Zumi,Cafe《星のとまり木》,カフェ,,#星のとまり木,https://www.14-store-log.com/stores/f3bc658e-d509-4ef0-91ea-44b79b53e30f,Meteor,Shinryu,ラベンダーベッド 17区,57番地
Siro Zumi,BAR《星のとまり木》,BAR,https://x.com/siroff14si,#星のとまり木,https://www.14-store-log.com/stores/88a4a4fe-00e2-4ff6-bce5-4e2f19c25a8e,Meteor,Shinryu,ミストヴィレッジ 4区,58番地
Nama Shin,基本無料対話店「カランコエ」,対話店,,#対話店カランコエ,https://www.14-store-log.com/stores/5d9dbbac-f757-42f1-82ec-070e875ec0e5,Elemental,Atomos,シロガネ 6区,45番地
Miyavi Quartz,Club Ketzer,対話店,https://club-ketzer.studio.site/,#club_ketzer,https://www.14-store-log.com/stores/768bd4c4-f07e-4d00-9446-2896341b1fd5,Gaia,Ultima,ゴブレットビュート 7区,13番地
Rivero Gladius,Bar_Alexandrite,BAR,,#Bar_Alexandrite,https://www.14-store-log.com/stores/f9005276-47ac-46b4-a63c-6334fbcb2e06,Mana,Asura,ラベンダーベッド 22区,7番地
Little Garden,【魚頭楽シリーズ第3弾改】夜のラーメン屋台「魚頭楽～嬉々怪々～」🍜,スタジオ・その他,https://x.com/lite170370/status/1885718682095288462,＃魚頭楽,https://www.14-store-log.com/stores/a5a15325-25fd-4f6a-b0fc-250a32d916d9,Mana,Chocobo,ゴブレットビュート 30区,12番地
Tetra Moku,水の美術館,画廊,,,https://www.14-store-log.com/stores/73a8c5c5-c99c-414b-b33c-2f8b77055d93,Meteor,Ramuh,シロガネ 8区,46番地
Tsugumi Yatsurugi,【魚頭楽シリーズ第9弾】炭炉居酒屋 「隠れ魚頭楽  一文字屋和輔」,居酒屋・スタジオ,,#魚頭楽,https://www.14-store-log.com/stores/6638ff88-e24e-4a9c-946c-ec44b15b0b07,Mana,Chocobo,シロガネ 2区,53番地
