オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
maruko domon,癒しの園ウサギ邸,カフェ・アトリエ,,#ウサギ邸,https://www.14-store-log.com/stores/2be999fd-f7f6-428a-b5e2-d90deae2f26a,Meteor,Yojimbo,ラベンダーベッド 29区,37番地
maruko domon,癒しの園ウサギ邸,カフェ・アトリエ,,#ウサギ邸,https://www.14-store-log.com/stores/6d69e362-a828-47ed-ad46-cb43526adaaf,Meteor,Yojimbo,ラベンダーベッド 29区,37番地
Miria Asari,隠れ家Bar「Blue Night」,BAR,,,https://www.14-store-log.com/stores/28a8ce0c-e54c-41d5-a568-332823b96272,Mana,Titan,ラベンダーベッド 5区,19番地
A'maging　Raha,【Cafe&Bar Heatheze】,カフェ・その他,,,https://www.14-store-log.com/stores/aa339549-f95c-42ec-bce5-a27d4ae699b0,Gaia,Fenrir,ミストヴィレッジ 2区,トップマスト1号 44号室
Purim Ephemere,La Pause,カフェ・BAR,,,https://www.14-store-log.com/stores/fc12bad8-ec36-49af-b018-973405a0ad4d,Meteor,Ramuh,エンピレアム 27区,49番地
Usagi Thunder,脱出系ギミックハウス【#青い扉の迷宮】※閉店しました,ギミックハウス,https://x.com/ff14_Thunder/status/1868262290711294190,,https://www.14-store-log.com/stores/4cac0a50-561a-47e6-949f-28374c627b2a,Gaia,Ifrit,ラベンダーベッド 27区,51番地
Origa Bles,レンタル店舗,その他,,#レンタル店舗_ff14,https://www.14-store-log.com/stores/150d0b70-db20-4d04-a210-ea7512912765,Mana,Pandaemonium,ラベンダーベッド 20区,13番地
Yoppy Chan,名前はまだない,カフェ・その他,,#ななしねこ_FF14,https://www.14-store-log.com/stores/6a78b9f1-89c1-4020-9b9d-29065b144797,Mana,Chocobo,ミストヴィレッジ 29区,トップマスト1号 32号室
Asa Ka,Neo Anavrin,カフェ,,,https://www.14-store-log.com/stores/a63d738f-63cb-4900-b1fc-1aa237e8599d,Mana,Anima,ゴブレットビュート 23区,52番地
Chloe Clover  Luka Freja,TwinBar,BAR,,#TwinBar,https://www.14-store-log.com/stores/05db3ccc-0a6d-4b4e-a1d2-2367abec70b9,Meteor,Zeromus,シロガネ 5区,11番地
Luka Circle,総合百貨店　魔女の釜,カフェ・マネキンショップ,,#魔女の釜,https://www.14-store-log.com/stores/1151ac0f-9ef6-4daf-9d8e-2bf568f227d6,Gaia,Alexander,エンピレアム 24区,42番地
Yuria Melty,cafe&BAR´lilly,カフェ・BAR,,lilly_ff14,https://www.14-store-log.com/stores/ea239dea-d28d-4ea4-80d6-165496de40be,Meteor,Zeromus,シロガネ 18区,2番地
Grace Rain,【Bar 蒼-ao-】,BAR・交流店,,,https://www.14-store-log.com/stores/ff016f97-b90f-40f0-9fb4-6247b56aad82,Gaia,Fenrir,ラベンダーベッド 8区,リリーヒルズ2号 12号室
Laura Brunetta,らうら相談所 メテオ支店,相談所,https://x.com/Laura_B_FFXIV,#らうら相談所,https://www.14-store-log.com/stores/8f09c560-3d22-4654-b147-3e396d0266bf,Meteor,Ramuh,エンピレアム 7区,39番地 地下
shiki,小さなマネキンショップ　enigma,マネキンショップ,,#4KI_enigma,https://www.14-store-log.com/stores/c25793ae-bcb7-4f60-9e45-5633f1293025,Mana,Pandaemonium,ミストヴィレッジ 19区,トップマスト2号 18
Kitty Brigid,【移動式有料個人対話】#K_Brigid,対話店・相談所,https://x.com/K_Brigid_RP,#FF14対話店,https://www.14-store-log.com/stores/d6b148be-e2b3-44a2-8a34-1898ba263cd8,Gaia,Ultima,ラベンダーベッド 1区,1番地
Mattsun Tsun,cafe:baron,カフェ・交流店,,#cafebaron,https://www.14-store-log.com/stores/61efc8dc-3532-4fc0-9874-21fc058d0d40,Mana,Ixion,エンピレアム 3区,3番地
Laura Brunetta & El fournine,Cafe -SEVENTEEN-,カフェ,https://x.com/Laura_B_FFXIV,#cafe_seventeen,https://www.14-store-log.com/stores/ed5a4a1c-aaab-4a7f-a6d2-6874badff2a0,Mana,Ixion,エンピレアム 27区,35番地
Satoshi Vai,barタンジェント,カフェ,,,https://www.14-store-log.com/stores/0e8ce5f6-6981-4a47-b0fe-7c18968ff573,Mana,Pandaemonium,ゴブレットビュート 12区,16番地
Ameth Willow,光る武器屋兼雑談Cafe《エイド》,販売店・カフェ,https://x.com/ameth_willow,#光る武器屋_エイド,https://www.14-store-log.com/stores/402604b3-fa4e-4ee2-a579-c111e27557cc,Elemental,Gungnir,エンピレアム 5区,6番地
M'Tomochin,C'afe&Bar Lavi'o,カフェ・BAR,,#ピンクららのお店,https://www.14-store-log.com/stores/43172abf-47cb-4360-982d-b91efde22539,Gaia,Alexander,ラベンダーベッド 7区,リリーヒルズ2号 12号室
Origa Bles,甘味処　祇園,カフェ,,,https://www.14-store-log.com/stores/ca0d6be7-5cde-4c2a-ae15-87210960b27e,Mana,Masamune,エンピレアム 6区,12番地 FC個室4号室
Kyouya Nagi,Cafe Yurace（ユレイス）,カフェ・交流店,,,https://www.14-store-log.com/stores/f53305e3-f031-4faa-9a0e-db53a6d6d542,Mana,Asura,ミストヴィレッジ 2区,トップマスト2号 棟80号室
Elelielly Salvatore,Leliel〚レリエル〛,交流店・銭湯,,#ff14_Leliel,https://www.14-store-log.com/stores/18afe7d3-5644-418c-b9ca-88a1ba9cc5bb,Mana,Pandaemonium,ゴブレットビュート 11区,49番地
Dan_Gety,隠れ家Bar「孤月」,BAR・居酒屋,https://twitter.com/kogetsu_ff14,#孤月,https://www.14-store-log.com/stores/6b2dc327-55f5-41c2-baa9-6c9c3c044e31,Meteor,Yojimbo,シロガネ 30区,14番地
Chiharu Hearteyes,喫茶-Blessing-,カフェ,,#喫茶_Blessing,https://www.14-store-log.com/stores/1fc370bc-2179-41ec-822b-ff53ba84531f,Meteor,Zeromus,ラベンダーベッド 22区,リリーヒルズ1号 39
Chiri Men,ららちゃんのおみせ,カフェ・販売店,https://x.com/lalachan434233,#ららちゃんのおみせ,https://www.14-store-log.com/stores/b31add67-5fd9-4195-85e7-0fcdc17645f0,Elemental,Gungnir,ラベンダーベッド 9区,34番地
Eye Melody,ららへるclub,BAR,,,https://www.14-store-log.com/stores/eeb75260-39f8-4560-bbcc-b85f42e0a3a6,Mana,Chocobo,ミストヴィレッジ 28区,13番地
Sherry Moira,雨宿り亭,交流店,https://x.com/shelter_of_rain,#雨宿り亭,https://www.14-store-log.com/stores/b11eac13-d65d-4130-8921-67af8aba4ca3,Mana,Titan,エンピレアム 5区,60番地
Aniki Soulbreaker,男の隠れ家,カフェ,https://ffxiv.link/0117844,#FF14男の隠れ家,https://www.14-store-log.com/stores/c2728394-4b23-4281-a792-b53e4aa9c737,Meteor,Belias,ミストヴィレッジ 8区,40番地
Leia Adorfi,CafeBrooklyn,カフェ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/784fea94-910d-4f95-9748-555be56ecb26,Meteor,Valefor,ミストヴィレッジ 5区,トップマスト1号 70
Leia Adorfi,水と緑のCafeLoungeFOREST～和モダン～,カフェ・BAR,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/2123e46d-c4f4-4c2a-9429-3894e200c002,Meteor,Valefor,ミストヴィレッジ 5区,トップマスト1号 27
Leia Adorfi,50'sRockCafe RAPSBERRY,カフェ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/49393e5d-b25a-4884-9ade-593bdb02dca0,Meteor,Valefor,ゴブレットビュート 5区,ナナモ大風車1号 5
Leia Adorfi,DanceClub LUCIA,クラブ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/ec55cd15-9295-4daa-8081-37c38fbbab12,Meteor,Valefor,ラベンダーベッド 11区,45番地 1
Leia Adorfi,水と緑のCafeLoungeFOREST 3号店,カフェ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/5ad76881-4dca-4964-82fe-a0fd724907de,Meteor,Valefor,ラベンダーベッド 11区,45番地
Leia Adorfi,水と緑のCafeLoungeFOREST ～夜～ 2号店 ,カフェ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/5411e0ee-4130-4377-9db5-04df13201ea0,Meteor,Valefor,ラベンダーベッド 9区,50番地
Leia Adorfi,水と緑のCafeLoungeFOREST ～夜～ 本店,カフェ,https://jp.finalfantasyxiv.com/lodestone/character/44718952/blog/5431561/,#れいあばる,https://www.14-store-log.com/stores/e1eeab23-0a8b-4e17-9b5e-467ddb55cbf2,Meteor,Valefor,ラベンダーベッド 21区,5番地
Fen Ura,喫茶「プレアデス」,カフェ,,,https://www.14-store-log.com/stores/5de6f9b9-56b3-47ba-aea5-d750f2910054,Mana,Titan,ラベンダーベッド 9区,14番地
Chloe Weiss,アウラ専門有料対話店 Ruscello,対話店,https://x.com/RuscelloFF14,#RuscelloFF14,https://www.14-store-log.com/stores/4ee0cf5d-9d18-4fb9-9ecc-b58eabe463c1,Gaia,Ultima,ラベンダーベッド 8区,56番地
Lucas Bertrant,喫茶ウタタネ,カフェ・マネキンショップ,https://tebajiro.wixsite.com/kissautatane,#喫茶ウタタネ,https://www.14-store-log.com/stores/5d4ea80d-2a11-4fb7-987e-80a370ad9664,Elemental,Gungnir,ゴブレットビュート 17区,34番地
Miles Barclay,喫茶アルデバラン,カフェ・その他,,#喫茶アルデ,https://www.14-store-log.com/stores/be198b96-e5b3-46a9-8985-772f719f370b,Mana,Titan,ゴブレットビュート 2区,4番地
unknown walker,Strange Turkey,カフェ・BAR,,,https://www.14-store-log.com/stores/a5de744e-bbb6-406d-b15f-603b2f17fa74,Gaia,Tiamat,エンピレアム 24区,47番地
Besu Ftaba,マネキンショップ『ふたば』,マネキンショップ・販売店,,,https://www.14-store-log.com/stores/cb78e237-2ec7-4539-a20d-298b101f65ae,Gaia,Tiamat,シロガネ 26区,紅梅御殿1号 3号室
Mina Ryuka,Bar【ThousandMiles】,BAR・カフェ,https://x.com/ThMsFFXIV,#ThMsFFXIV,https://www.14-store-log.com/stores/49479350-8953-4028-9f79-25c32a3069cd,Mana,Ixion,エンピレアム 8区,イングルサイド2号 20
Amy Rosa,NieR音楽BAR[ウタウタイ],BAR・対話店,https://x.com/AmyRosa_07654,,https://www.14-store-log.com/stores/96aae799-ad2c-49bb-9a9f-26bb59adadc3,Meteor,Valefor,ミストヴィレッジ 30区,8番地
プチ 茶々,ちる店 ぷちる,その他,,,https://www.14-store-log.com/stores/61dbf313-0cbd-480f-8b93-aa2f46703b53,Mana,Masamune,ゴブレットビュート 12区,25番地
Soushi Kokonoe,交流店うさぎや,交流店・マネキンショップ,https://x.com/usagiyaXIV,#交流店うさぎや,https://www.14-store-log.com/stores/ec462edc-402b-4d0a-9ec1-a9a900649517,Gaia,Fenrir,ラベンダーベッド 29区,56番地
Robin's-egg Blue,BL好きヒカセンのための雑談Discord 入会窓口【Meteorl拠点】,交流店,https://kusanoie.studio.site/,#くさのいえ,https://www.14-store-log.com/stores/e4ccd3bf-456c-462d-8504-94b62932011f,Meteor,Mandragora,ミストヴィレッジ 25区,25番地 1階
Robin's-egg Blue,BL好きヒカセンのための雑談Discord 入会窓口【Mana拠点】,交流店,https://kusanoie.studio.site/,#くさのいえ,https://www.14-store-log.com/stores/8e803e09-7216-4ca6-90d3-b76f888ecdcf,Mana,Chocobo,ラベンダーベッド 29区,14番地
Robin's-egg Blue,BL好きヒカセンのための雑談Discord 入会窓口【Gaia拠点】,交流店,https://kusanoie.studio.site/,#くさのいえ,https://www.14-store-log.com/stores/6d0c1908-bf9f-4949-adcc-339acc3abd28,Gaia,Fenrir,ラベンダーベッド 4区,4番地 1階
Robin's-egg Blue（個室所有主：Corvus Alis）,BL好きヒカセンのための雑談Discord 入会窓口【Elemental拠点】,交流店,https://kusanoie.studio.site/,#くさのいえ,https://www.14-store-log.com/stores/c147061a-aef1-4e75-9e58-f9c49d27ab2b,Elemental,Typhon,シロガネ 1区,17番地 個室001号室
17th-NightMoon,BAR『十七夜月-KANOU-』Aegis店,BAR,,,https://www.14-store-log.com/stores/ccf92f9c-b825-4a12-98bb-4e6c8879c94f,Elemental,Aegis,ゴブレットビュート 11区,6番地
Abdiel Berus,喫茶　ルガアール,カフェ,,,https://www.14-store-log.com/stores/06292c94-4e5f-4cf9-a366-b818db64c507,Mana,Masamune,ゴブレットビュート 30区,ナナモ大風車1号 21
Hal Foley,Mori Mori 食堂,カフェ・販売店,https://x.com/h_f_oskn?s=21,#MoriMori食堂,https://www.14-store-log.com/stores/4d501960-b91f-439a-a4b9-d45e96f271b0,Gaia,Alexander,エンピレアム 24区,44番地
Alishan Forestcat,　　 【有料占い】　　　＃Ｐａｒｉｓｄａｉｓｙ,占い・相談所,,,https://www.14-store-log.com/stores/782a0d08-04ab-4ce1-9289-a0580b1e4287,Gaia,Alexander,ラベンダーベッド 18区,32番地
Asa Ka,HIDAMARI,カフェ,https://x.com/HIDAMARI_Anima,#hidamari_FF14,https://www.14-store-log.com/stores/1d6b7963-2ec9-412f-b356-ece5910a7d5b,Mana,Anima,ゴブレットビュート 23区,60番地
Nyai Rupple,かっぱショップ,マネキンショップ,https://twitter.com/Kappa_Shop_,,https://www.14-store-log.com/stores/9c48f297-6fee-43c5-a03b-03259cc6f3d0,Mana,Anima,ラベンダーベッド 12区,リリーヒルズ1号 45号室
Neko Thunder,エンピレアムシアター,その他・スタジオ,https://housingsnap.com/42539,,https://www.14-store-log.com/stores/d8166c29-e36e-4605-8cb5-2c131a865f98,Gaia,Ifrit,エンピレアム 3区,24番地
Eleusis Arwall,クラフターカフェMaya,カフェ,,,https://www.14-store-log.com/stores/33a88515-2ad8-4eb4-a86f-e61cf9ad6310,Mana,Anima,ラベンダーベッド 19区,22番地
Kenn-y-Shamrock,有料個人対話店【K】,対話店・相談所,https://x.com/ClubK_ff14,#ClubK_ff14,https://www.14-store-log.com/stores/00cdb583-44bb-4f98-b06a-1ee11fd55f59,Mana,Pandaemonium,エンピレアム 1区,イングルサイド1号
Uluru Cess,喫茶店ぽぷり,カフェ,,,https://www.14-store-log.com/stores/c0de5b12-f8a2-4611-9127-15a06143b2a4,Mana,Titan,ゴブレットビュート 8区,21番地
Alicia Lens,BAR«LOW TON»,BAR,https://x.com/FF14BAR_LowTon,,https://www.14-store-log.com/stores/ea433eb7-3769-42e0-8e87-cea4781090ac,Elemental,Gungnir,ラベンダーベッド 29区,10番地
Meltia Tanaka,BAR≪MelVie≫,BAR,,,https://www.14-store-log.com/stores/e14d0d71-84fa-44a0-b820-651dfc1721bd,Meteor,Belias,エンピレアム 21区,45番地 （地下）
Sion Viola,♡カジノ  つるたす♡,カジノ・カフェ,,,https://www.14-store-log.com/stores/276603d4-9cbb-4d6e-bda0-b918d1b5f517,Meteor,Belias,ゴブレットビュート 4区,2番地
unknown walker,BAR beginner,BAR,,,https://www.14-store-log.com/stores/0b0b992f-294a-44d8-8af6-e7096fc07a46,Meteor,Belias,ゴブレットビュート 29区,38番地
Kinova Bartolini,ドランカー,BAR,,#Bar_Drunkard,https://www.14-store-log.com/stores/a20359b3-82b5-45da-a82a-f872d871866b,Mana,Masamune,エンピレアム 21区,1番地
Ien Casterede,Cafe Solaris,カフェ,,,https://www.14-store-log.com/stores/05bd869b-9892-4599-a3ec-21ef670d49c3,Mana,Ixion,ラベンダーベッド 22区,2番地
Abdiel Berus,喫茶ルガアール2号店SeasideJOHNNY,BAR・カフェ,,,https://www.14-store-log.com/stores/568ab611-8fba-4e46-b398-d4e0275ed547,Mana,Masamune,エンピレアム 13区,6番地
Hasuha Mo,cheri,BAR,https://x.com/tukiten_ff14,,https://www.14-store-log.com/stores/3bac4b4c-86d3-4d09-a774-be94a38c7de1,Mana,Pandaemonium,エンピレアム 5区,32番地
Rouge Cestlavie,冒険者の集う酒場「バースト」,BAR,,,https://www.14-store-log.com/stores/fec5263d-108b-4dbd-b25e-766ecbd576c7,Mana,Titan,シロガネ 28区,6番地
Marble Penguin,温浴処白ぺんぎん,その他,https://x.com/penguinsirokuro/status/1571341860312064004,,https://www.14-store-log.com/stores/30a05307-373c-4bd0-a9d9-f39fe471dc05,Meteor,Ramuh,ゴブレットビュート 6区,44番地
Number Coco,光と影のリラックス空間,その他,,,https://www.14-store-log.com/stores/641214e5-a3c8-425e-8b9b-658618590cc0,Mana,Pandaemonium,エンピレアム 29区,23番地
suri-mo gami,化かされ亭,交流店,,,https://www.14-store-log.com/stores/bcca60ce-1c37-423c-9c83-78ac358ebddc,Mana,Chocobo,シロガネ 16区,2番地
Mame Kuma,森のどんぐり,カフェ,,,https://www.14-store-log.com/stores/0c7100a9-83dd-490b-8e5b-e13a82ae2f18,Meteor,Yojimbo,シロガネ 15区,45番地
すぅみぃ,雑貨屋【すぅみぃ】,販売店,,,https://www.14-store-log.com/stores/322fff81-45c0-4f1f-adea-22d0cea9319b,Gaia,Ridill,ミストヴィレッジ 6区,トップマスト2号 10
mirin,洋服屋さん,マネキンショップ,,,https://www.14-store-log.com/stores/95b207e0-3006-4c51-96d4-784092c2cb17,Meteor,Ramuh,ミストヴィレッジ 21区,トップマスト1号 46号室
Hio Filiglim,和カフェ兼居酒屋「こぉらる」,その他,https://x.com/hiofiliglim,,https://www.14-store-log.com/stores/bf26e526-b3dd-47f2-89da-bd736a138888,Gaia,Bahamut,ミストヴィレッジ 10区,43番地
Chloe Lerouxwyn,足湯Bar玄,BAR,,,https://www.14-store-log.com/stores/30c63081-a665-45e6-8770-198e74b36a91,Meteor,Valefor,シロガネ 23区,11番地
Phil Grandier,エレおじのカフェ,カフェ,https://x.com/Phil_Grandier,,https://www.14-store-log.com/stores/0939b1c8-8733-472c-bd06-c91e110b3f72,Gaia,Alexander,ラベンダーベッド 27区,リリーヒルズ1号 20号室
jimaco jima,雑談barコジマ,BAR,,,https://www.14-store-log.com/stores/48f89894-ac65-4ab7-9a59-8e5692ae87f7,Mana,Masamune,エンピレアム 16区,27番地
unknown walker,PUBLIC BAR Flake,BAR,,,https://www.14-store-log.com/stores/7f223c77-cfe5-497e-99d4-d0a09d3e1f2d,Gaia,Tiamat,ラベンダーベッド 16区,30番地
PekeVia,Usagi imperial,BAR,,,https://www.14-store-log.com/stores/3c61201c-4a9f-4d3a-8919-4beb9e43d954,Meteor,Ramuh,ゴブレットビュート 13区,48番地
Emilia Hamilton,Wellington Tea Room,カフェ,,,https://www.14-store-log.com/stores/e89113dd-2ae5-46fb-95e5-8af37dc2e5df,Mana,Chocobo,エンピレアム 1区,イングルサイド2号 28号室
Sea Mofumofu,きまぐれねこのおみせ【販売店/ﾏﾈｷﾝｼｮｯﾌﾟ】,販売店,,,https://www.14-store-log.com/stores/432df56f-fdcf-4dd0-81a6-af3514c7ded1,Gaia,Bahamut,ラベンダーベッド 24区,12番地
暇レンジャー,ひまcafe,カフェ,,,https://www.14-store-log.com/stores/4431787c-1463-4d37-b81a-c53562d11d6e,Meteor,Belias,ミストヴィレッジ 27区,1番地
JarkyMinan,眠れる子牛亭,BAR,,,https://www.14-store-log.com/stores/76971adc-cd75-47dc-83c9-3df53e8bec33,Mana,Asura,ミストヴィレッジ 23区,トップマスト1号 25
Tacchii Rampage,和食処「七彩寿司」,居酒屋,,,https://www.14-store-log.com/stores/2e455d33-a7f1-4772-8a9f-58c3f6f43db8,Gaia,Alexander,シロガネ 22区,33番地
Eden Forgiven,BAR【Re'Cove〜リ・カーヴ】,BAR,,,https://www.14-store-log.com/stores/921d9743-b013-441c-a79e-82c6272eb89a,Mana,Hades,ゴブレットビュート 9区,11番地
オーナー Black Cat / 店長 Airel Little,Bar Seraphim(セラフィム),BAR,,,https://www.14-store-log.com/stores/9aae0af9-189c-4167-95a6-75f983081c84,Mana,Anima,エンピレアム 25区,44番地
unknown walker,緑泉珈琲,カフェ,,,https://www.14-store-log.com/stores/7bca4e06-5a3b-4e93-bf25-e4bb0b1572e8,Meteor,Mandragora,ラベンダーベッド 24区,31番地
Rei'z Lower,カジノ【ヴィクトリア】,その他,,,https://www.14-store-log.com/stores/4b3ad009-ae11-40dc-9951-2bc30db5011c,Meteor,Shinryu,シロガネ 7区,45番地  2F
Luna Schoenheit,Celeste,BAR,,,https://www.14-store-log.com/stores/60145727-c759-4793-b570-2eadf042d13b,Gaia,Ifrit,エンピレアム 19区,49番地
Iverta Darsios,BAR&Salon《Amissa alis》,BAR,,,https://www.14-store-log.com/stores/302330c3-3b85-4178-8297-7d9269e7a0d6,Elemental,Atomos,ラベンダーベッド 4区,48番地
えるぼぼ親方┆シヲ店員,杉の木鉄工所,販売店,https://x.com/suginoki_iw,,https://www.14-store-log.com/stores/ed80fb37-44ce-4443-819c-e1389a6af8c5,Gaia,Tiamat,エンピレアム 13区,15番地
Kuro Akira,ニュー新橋ビルのカレー屋さん,BAR,,,https://www.14-store-log.com/stores/a9762db7-2155-418e-b6cd-901fcb296ac1,Gaia,Fenrir,ミストヴィレッジ 23区,トップマスト2号 8号室
katsudon yuyu,【cafe】#ゆずかふぇ,カフェ,,,https://www.14-store-log.com/stores/b3760ae2-c0b7-4528-b6b2-f2f768b2f4d9,Mana,Asura,ゴブレットビュート 14区,10番地
Sako-n Sako,one by one,居酒屋,,,https://www.14-store-log.com/stores/6ea3b1e1-0a2c-4632-9c8e-e98831ae6c53,Mana,Titan,ラベンダーベッド 20区,18番地
Sora fasiria, #SkyBar_774,BAR,https://x.com/SkyBar_774,,https://www.14-store-log.com/stores/3650c9e6-ed91-4c3a-a96a-783d24832326,Gaia,Durandal,シロガネ 27区,紅梅御殿1号 5号
Haru Leon,haru's fo:rest cafe【はるの森カフェ】,カフェ,https://x.com/haruharu_leon,,https://www.14-store-log.com/stores/770781e5-97f3-4fe1-941a-08e15e67be75,Gaia,Fenrir,ミストヴィレッジ 23区,28番地
una,Cafe Lukea,カフェ,https://x.com/cafelukea_ff14,,https://www.14-store-log.com/stores/3ac61a3a-68d9-43b8-a518-e2acd576a21a,Mana,Titan,ラベンダーベッド 3区,20番地
Ludwig Vb,BAR【Adagio】,BAR,,,https://www.14-store-log.com/stores/7628667e-8756-46e8-8148-6e7bea9ee4a4,Mana,Masamune,シロガネ 14区,48番地
Wolfgung Mittaman,BAR GELBEROSEN,BAR,,,https://www.14-store-log.com/stores/a9dfc864-22b7-41db-a888-5d9249ce24f2,Gaia,Bahamut,エンピレアム 27区,18番地
Blitz Argentum,オスッテバー【NECORU】,BAR,,,https://www.14-store-log.com/stores/716b4215-e2ef-4601-ac5d-09c10b67aa18,Gaia,Ultima,ゴブレットビュート 1区,3番地
Reima Rose,BAR Lagerfeuer,BAR,,,https://www.14-store-log.com/stores/e5e36c31-32b0-4344-ae95-4986d694d28b,Meteor,Valefor,シロガネ 7区,41番地
An　Donuts,マナ画廊別館,画廊,,,https://www.14-store-log.com/stores/645bdfca-1b51-4608-9fe5-60fccc79f921,Elemental,Kujata,ゴブレットビュート 20区,13番地
Miry Mist,「Rouss LaLa」カフェ&休憩処,カフェ,,,https://www.14-store-log.com/stores/baf63c12-53d5-41c2-8c6c-a59505f95353,Mana,Asura,ゴブレットビュート 9区,35番地
Jastasha Shevpinko,小料理ぴんこ,居酒屋,,,https://www.14-store-log.com/stores/2110e1ab-d69c-4673-81b8-7dd6ff933ab5,Mana,Ixion,シロガネ 12区,58番地
Toto Teto,喫茶ぺんぺん亭,カフェ,,,https://www.14-store-log.com/stores/e467f3ba-dfe1-403e-af9f-a57fcd3aae62,Mana,Ixion,ラベンダーベッド 19区,13番地
DJ KANISAN,Nightclub ▹▹ARTEMIS▹▹,その他,,,https://www.14-store-log.com/stores/eed22ed7-a86a-4024-8daa-49481689eebd,Mana,Masamune,シロガネ 24区,30番地
Satoshi Vai,喫茶タンジェント分館,カフェ,,,https://www.14-store-log.com/stores/7de863be-9e22-42be-a446-1807f4ae710a,Mana,Pandaemonium,ミストヴィレッジ 21区,トップマスト1号 38号室
Liliane Fryxell,Cafe【りりあーね】,カフェ,,,https://www.14-store-log.com/stores/60f812f3-a072-434a-b41e-0a419cbaa1ab,Mana,Pandaemonium,ミストヴィレッジ 29区,58番地
MINI91,【作業放置＆占いカフェ】AM3:00のおやつ,カフェ,,,https://www.14-store-log.com/stores/f98b3261-dfcc-4c26-a0dc-18befc67a134,Gaia,Alexander,エンピレアム 6区,34番地 1F カフェ
Ponyo Gakeppchi,崖茶～お家で喫茶店～,カフェ,https://twitter.com/ponyo000001,,https://www.14-store-log.com/stores/c24b94fe-6b13-466d-b354-2f5b76d3bcd8,Gaia,Alexander,シロガネ 26区,35番地
Nemu Lily,スナック ねむのき,交流店,,,https://www.14-store-log.com/stores/02310407-a833-4a95-8137-a910895b9b07,Gaia,Fenrir,ラベンダーベッド 11区,リリーヒルズ1号 23号室
Stella Noykin,隠れ家,その他,,,https://www.14-store-log.com/stores/f235cee0-7e2b-4e24-b914-3579511bff8e,Mana,Pandaemonium,ゴブレットビュート 26区,59番地
Ponyo　Gakeppchi,GakeSuna-崖の上のスナック‐,BAR,https://twitter.com/gakesff14,,https://www.14-store-log.com/stores/5a422592-4dd5-4bdd-b93b-09265a567f63,Gaia,Alexander,ゴブレットビュート 27区,ナナモ大風車1号 15号室
Arc Katze,Atem_Natur【自然/息吹】,その他,https://x.com/arckatze,,https://www.14-store-log.com/stores/c256a661-531e-4c81-9463-9b8767a1f131,Mana,Asura,ミストヴィレッジ 17区,34番地
Rydia Misteed,《Cafe & Bar DuNker ruStiG》 Anima支店,BAR,,,https://www.14-store-log.com/stores/8e557261-a00a-42fc-84cf-ebf6b8389ce6,Mana,Anima,エンピレアム 14区,51番地
Lila Syringa,café Petrichor,カフェ,https://x.gd/7U5pX,,https://www.14-store-log.com/stores/42145af9-f349-4da5-a63c-3c89af778528,Gaia,Ifrit,ゴブレットビュート 22区,24番地
Dodo_donguri,喫茶 ドドの巣,カフェ,,,https://www.14-store-log.com/stores/f96b4f5a-a6b7-4bb1-8fd8-36e9dbdec60a,Gaia,Fenrir,ミストヴィレッジ 28区,トップマスト2号 6号室
Miyavi Miya,1F「甘味処【餡-An-】」 B1 「ナイトクラブ【蓮-Ren-】」  アパ別館「私立エオミコ学園」,BAR,,,https://www.14-store-log.com/stores/db0d9cae-907c-4fac-8e24-1f4523f60dbd,Mana,Chocobo,ラベンダーベッド 24区,19番地 別館 30区 拡張ヒルズ2号棟 16号室
Shion Shiranui,「Viator」冒険者カフェ&バル,カフェ,,,https://www.14-store-log.com/stores/6ce87686-529c-49c7-aa56-ce11d783c037,Mana,Masamune,シロガネ 27区,51番地
Rick Ross,COLORS,BAR,,,https://www.14-store-log.com/stores/dec867c7-cfad-4a74-80ab-015ca1c005e8,Mana,Masamune,ラベンダーベッド 29区,17番地
Karen Obsidian,BAR FryingTeapot,BAR,,,https://www.14-store-log.com/stores/a0e5e728-8c4e-466b-950d-32b4dfe57e85,Mana,Asura,ラベンダーベッド 24区,54番地
Edelweisz Avalon,High Roller,カフェ,,,https://www.14-store-log.com/stores/bed88395-4faf-4616-9c37-cce493582a9a,Elemental,Atomos,ゴブレットビュート 6区,ナナモ大風車1号 16号
Nanao Amalofi,Cafe 7th Elemets,カフェ,,,https://www.14-store-log.com/stores/d366853c-7883-41c3-b137-156aa8bf1459,Mana,Masamune,ミストヴィレッジ 24区,31番地 地下
PhononTrefoil,ミツバ観光クラフターズガレージ,その他,,,https://www.14-store-log.com/stores/b45e5a16-6469-4961-88d5-0465da626f73,Elemental,Kujata,ラベンダーベッド 23区,37番地
